
Symbol table '.dynsym' contains 12096 entries:
   Num:    Value  Size Type    Bind   Vis       Ndx Name
   169: 00f35c88     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_ColorPickerControl.colorBrightness
   170: 00e9245c    20 OBJECT  GLOBAL DEFAULT    32 OBJC_METACLASS_$_Egg
   171: 00f35c7c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_Egg.hatchTimer
   172: 00f35c78     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_Egg.genesDict
   173: 00f35c80     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_Egg.breed
   174: 00e92434    20 OBJECT  GLOBAL DEFAULT    32 OBJC_METACLASS_$_MangoTree
   175: 00e9240c    20 OBJECT  GLOBAL DEFAULT    32 OBJC_METACLASS_$_Bed
   176: 00f35c60     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_Bed.tileDestructTexture
   177: 00f35c6c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_Bed.pillowDrawCube
   178: 00f35c64     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_Bed.itemType
   179: 00f35c68     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_Bed.cubeShader
   180: 00f35c70     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_Bed.beddingDrawCube
   181: 00f35c74     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_Bed.beddingColor
   182: 00e923e4    20 OBJECT  GLOBAL DEFAULT    32 OBJC_METACLASS_$_TradePortal
   183: 00f35c44     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_TradePortal.sound
   184: 00f35c54     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_TradePortal.savedDrawBufferIndex
   185: 00f35c50     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_TradePortal.savedDrawBuffer
   186: 00f35c48     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_TradePortal.paused
   187: 00f35c3c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_TradePortal.localPriceOffsets
   188: 00f35c38     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_TradePortal.light
   189: 00f35c40     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_TradePortal.level
   190: 00f35c58     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_TradePortal.isSellInteraction
   191: 00f35c5c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_TradePortal.isMissionInteraction
   192: 00f35c4c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_TradePortal.animationLoopTimer
   193: 00f35c34     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_TradePortal.animationLoopIndex
   194: 00e923bc    20 OBJECT  GLOBAL DEFAULT    32 OBJC_METACLASS_$_AddCreditUI
   195: 00f35bdc     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.worldName
   196: 00f35be0     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.worldID
   197: 00f35bd8     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.windowInfo
   198: 00f35c28     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.verificationUsedCachedReciept
   199: 00f35c00     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.titleTextView
   200: 00f35c30     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.timeSelectionIndex
   201: 00f35c2c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.timeSelectionInSecondsToTopup
   202: 00f35c18     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.timePriceViews
   203: 00f35bec     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.skRequest
   204: 00f35bfc     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.orthoMatrix
   205: 00f35c24     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.inProgress
   206: 00f35c08     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.descriptionTextView
   207: 00f35be8     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.delegate
   208: 00f35c1c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.creditProducts
   209: 00f35c04     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.cancelButton
   210: 00f35be4     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.cache
   211: 00f35bf4     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.blackBackgroundShader
   212: 00f35bf8     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.backgroundTexture
   213: 00f35bf0     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.backgroundShader
   214: 00f35c20     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.alertView
   215: 00f35c0c     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.addingCreditTextView
   216: 00f35c10     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.add1WeekButton
   217: 00f35c14     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_AddCreditUI.add1MonthButton
   218: 00e92394    20 OBJECT  GLOBAL DEFAULT    32 OBJC_METACLASS_$_SteamTrain
   219: 00f35bc4     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_SteamTrain.wheelRodCube
   220: 00f35ba4     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_SteamTrain.stopped
   221: 00f35bb0     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_SteamTrain.stopAtGoalPos
   222: 00f35bc8     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_SteamTrain.steamSound
   223: 00f35bb4     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_SteamTrain.stationGoalPos
   224: 00f35b88     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_SteamTrain.serachingForRightStationName
   225: 00f35b84     4 OBJECT  GLOBAL DEFAULT    34 OBJC_IVAR_$_SteamTrain.serachingForLeftStationName
